,Cumulative returns,Annual return,Annual volatility,Sharpe ratio,Max drawdown
finrl_finrl,-0.016768712762862847,-0.01683495485555231,0.04413185087377704,-0.3643461229417654,-0.05077885550242292
zhang_finrl,-0.03934727054605325,-0.03950089495103071,0.06050090322891594,-0.6387124875006823,-0.0752169009421067
finrl_custom,-0.13857970624464322,-0.1390915080567422,0.17477365196024938,-0.7728412425127509,-0.23335372374841715
custom_finrl,-0.05096820204828012,-0.051165976959128945,0.054638329780516894,-0.9377916985333675,-0.061493113919416295
zhang_custom,-0.15882335114272783,-0.15940277111562018,0.1558705891363784,-1.0402139392446021,-0.21025626215764812
custom_custom,-0.15230795237308004,-0.15286581980284109,0.14843183845679125,-1.0477140978741044,-0.18458045463100065
