,Cumulative returns,Annual return,Annual volatility,Sharpe ratio,Max drawdown
zhang_custom,-0.03618028258031225,-0.03632177712057261,0.1587781680140313,-0.1549207657106992,-0.12495809606582235
finrl_finrl,-0.03435911189958407,-0.034493612326864875,0.08258268384510556,-0.38579051151526156,-0.10182459489445864
finrl_custom,-0.07417553659945786,-0.07445977133230108,0.16275130858479508,-0.39613879158177506,-0.19975219538527386
zhang_finrl,-0.050092558679458166,-0.050287026564339254,0.08942284969449324,-0.5347638077322068,-0.10744138293879478
custom_finrl,-0.07307258816219098,-0.07335276601423768,0.10122888914108195,-0.705199277285341,-0.12625256091052559
custom_custom,-0.15082474191032202,-0.15137767494312637,0.16910302274337763,-0.8898576340541795,-0.19181011477464727
